	Pre	Pos	Retencao	PosObservacao
Deltoide	1.0690	0.0000	0.0000	0.0000
        	0.1275	0.0000	0.0000	0.0000
        	-0.0095	0.0000	0.0000	0.0000
        	0.0075	0.0000	0.0000	0.0000
        	0.0030	0.0000	0.0000	0.0000


Biceps	0.0000	0.0000	0.0000	0.0000
      	0.0000	0.0000	0.0000	0.0000
      	0.0000	0.0000	0.0000	0.0000
      	0.0000	0.0000	0.0000	0.0000
      	0.0000	0.0000	0.0000	0.0000


Triceps	0.0000	0.0000	0.0000	0.0000
       	0.0000	0.0000	0.0000	0.0000
       	0.0000	0.0000	0.0000	0.0000
       	0.0000	0.0000	0.0000	0.0000
       	0.0000	0.0000	0.0000	0.0000
